Course,Course Title,Course Type,Instructor,Start Date,End Date,Days,Start Time,End Time,Location,Room Type,Actual Enroll
,,,,,,W,1:15 PM,4:00 PM,,,3
,,,,,,TR,9:35 AM,10:50 AM,,,19
,,,,,,TR,1:15 PM,2:30 PM,,,18
,,,,,,MW,1:15 PM,2:30 PM,,,18
,,,,,,WF,11:00 AM,12:15 PM,,,12
,,,,,,T,1:15 PM,4:00 PM,,,9
,,,,,,F,2:30 PM,4:00 PM,,,4
,,,,,,MWF,10:00 AM,10:50 AM,,,10
,,,,,,MWF,8:00 AM,8:50 AM,,,10
,,,,,,TR,8:10 AM,9:25 AM,,,10
,,,,,,MWF,9:00 AM,9:50 AM,,,17
,,,,,,TR,9:35 AM,10:50 AM,,,17
,,,,,,MWF,10:00 AM,10:50 AM,,,12
,,,,,,TR,1:15 PM,2:30 PM,,,12
,,,,,,MWF,11:00 AM,11:50 AM,,,11
,,,,,,TR,2:45 PM,4:00 PM,,,11
,,,,,,MW,9:00 AM,9:50 AM,,,10
,,,,,,TR,9:35 AM,10:50 AM,,,10
,,,,,,MW,9:00 AM,9:50 AM,,,13
,,,,,,TR,9:35 AM,10:50 AM,,,13
,,,,,,MW,10:00 AM,10:50 AM,,,17
,,,,,,TR,1:15 PM,2:30 PM,,,17
,,,,,,MW,11:00 AM,11:50 AM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,15
,,,,,,MWF,11:00 AM,12:15 PM,,,15
,,,,,,MW,1:15 PM,2:30 PM,,,6
,,,,,,MW,2:45 PM,4:00 PM,,,12
,,,,,,TR,2:45 PM,4:00 PM,,,7
,,,,,,F,1:15 PM,4:00 PM,,,6
,,,,,,F,1:15 PM,4:00 PM,,,6
,,,,,,F,1:15 PM,4:00 PM,,,7
,,,,,,MW,2:45 PM,4:00 PM,,,21
,,,,,,T,1:15 PM,4:00 PM,,,15
,,,,,,TR,9:35 AM,10:50 AM,,,17
,,,,,,MWF,9:00 AM,9:50 AM,,,30
,,,,,,MWF,10:00 AM,10:50 AM,,,30
,,,,,,MWF,11:00 AM,11:50 AM,,,31
,,,,,,TR,1:15 PM,2:30 PM,,,25
,,,,,,TR,9:35 AM,10:50 AM,,,23
,,,,,,MW,11:00 AM,12:15 PM,,,15
,,,,,,TR,1:15 PM,2:30 PM,,,12
,,,,,,TR,2:45 PM,4:00 PM,,,22
,,,,,,TR,9:35 AM,10:50 AM,,,24
,,,,,,MW,11:00 AM,12:15 PM,,,17
,,,,,,MW,1:15 PM,2:30 PM,,,19
,,,,,,MW,2:45 PM,4:00 PM,,,12
,,,,,,MW,11:00 AM,12:15 PM,,,23
,,,,,,TR,2:45 PM,4:00 PM,,,27
,,,,,,TR,9:35 AM,10:50 AM,,,18
,,,,,,MW,1:15 PM,2:30 PM,,,18
,,,,,,MW,1:15 PM,2:30 PM,,,22
,,,,,,TR,1:15 PM,2:30 PM,,,22
,,,,,,TR,9:35 AM,10:50 AM,,,28
,,,,,,MW,2:45 PM,4:00 PM,,,24
,,,,,,MW,2:45 PM,4:00 PM,,,19
,,,,,,MW,1:15 PM,2:30 PM,,,21
,,,,,,TR,1:15 PM,2:30 PM,,,28
,,,,,,TR,9:35 AM,10:50 AM,,,26
,,,,,,MW,2:45 PM,4:00 PM,,,10
,,,,,,MW,2:45 PM,4:00 PM,,,10
,,,,,,M,1:15 PM,4:00 PM,,,12
,,,,,,W,1:15 PM,4:00 PM,,,12
,,,,,,TR,9:35 AM,10:50 AM,,,13
,,,,,,MW,11:00 AM,12:15 PM,,,10
,,,,,,TR,1:15 PM,2:30 PM,,,15
,,,,,,TR,9:35 AM,10:50 AM,,,15
,,,,,,T,11:00 AM,12:15 PM,,,7
,,,,,,R,1:15 PM,4:00 PM,,,17
,,,,,,TR,2:45 PM,4:00 PM,,,19
,,,,,,W,7:00 PM,9:50 PM,,,11
,,,,,,M,1:15 PM,4:00 PM,,,12
,,,,,,M,7:00 PM,9:50 PM,,,9
,,,,,,MW,11:00 AM,11:50 AM,,,14
,,,,,,TR,1:15 PM,2:05 PM,,,14
,,,,,,MW,1:15 PM,2:05 PM,,,13
,,,,,,TR,1:15 PM,2:05 PM,,,13
,,,,,,MW,9:00 AM,9:50 AM,,,19
,,,,,,TR,8:30 AM,9:20 AM,,,19
,,,,,,MTWR,10:00 AM,10:50 AM,,,18
,,,,,,MW,11:00 AM,12:15 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,15
,,,,,,TR,9:35 AM,10:50 AM,,,12
,,,,,,MW,11:00 AM,12:15 PM,,,19
,,,,,,MW,1:15 PM,2:30 PM,,,12
,,,,,,MW,9:00 AM,9:50 AM,,,13
,,,,,,TR,9:35 AM,10:50 AM,,,13
,,,,,,MWF,11:00 AM,12:15 PM,,,19
,,,,,,TR,1:15 PM,2:30 PM,,,14
,,,,,,F,11:00 AM,12:15 PM,,,4
,,,,,,MW,10:00 AM,10:50 AM,,,8
,,,,,,TR,9:35 AM,10:50 AM,,,8
,,,,,,MW,11:00 AM,12:15 PM,,,6
,,,,,,MWF,10:00 AM,10:50 AM,,,4
,,,,,,TR,11:00 AM,11:45 AM,,,6
,,,,,,MW,11:00 AM,12:15 PM,,,21
,,,,,,TR,1:15 PM,2:30 PM,,,20
,,,,,,TR,1:15 PM,2:30 PM,,,19
,,,,,,MW,1:15 PM,2:30 PM,,,21
,,,,,,TR,9:35 AM,10:50 AM,,,11
,,,,,,TR,9:35 AM,10:50 AM,,,18
,,,,,,M,1:15 PM,4:00 PM,,,2
,,,,,,TR,1:15 PM,2:30 PM,,,30
,,,,,,TR,9:35 AM,10:50 AM,,,30
,,,,,,TR,2:45 PM,4:00 PM,,,21
,,,,,,TR,1:15 PM,2:30 PM,,,26
,,,,,,TR,2:45 PM,4:00 PM,,,20
,,,,,,TR,1:15 PM,2:30 PM,,,14
,,,,,,MWF,11:00 AM,11:50 AM,,,29
,,,,,,MWF,9:00 AM,9:50 AM,,,13
,,,,,,W,1:15 PM,4:00 PM,,,13
,,,,,,W,7:00 PM,9:50 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,31
,,,,,,MW,1:15 PM,2:30 PM,,,16
,,,,,,MW,2:45 PM,4:00 PM,,,21
,,,,,,MW,11:00 AM,12:15 PM,,,5
,,,,,,MW,1:15 PM,2:30 PM,,,14
,,,,,,TR,2:45 PM,4:00 PM,,,16
,,,,,,F,1:15 PM,4:00 PM,,,13
,,,,,,F,1:15 PM,4:00 PM,,,13
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,10
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,11
,,,,,,TR,11:00 AM,12:15 PM,,,10
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,13
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,12
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,11:00 AM,12:15 PM,,,14
,,,,,,TR,11:00 AM,12:15 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,12
,,,,,,TR,1:15 PM,2:30 PM,,,14
,,,,,,MWF,8:00 AM,8:50 AM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,14
,,,,,,MWF,9:00 AM,9:50 AM,,,16
,,,,,,TR,8:10 AM,9:25 AM,,,16
,,,,,,MWF,10:00 AM,10:50 AM,,,10
,,,,,,TR,9:35 AM,10:50 AM,,,10
,,,,,,MW,8:00 PM,9:00 PM,,,3
,,,,,,MW,7:00 PM,8:00 PM,,,7
,,,,,,MW,9:00 AM,9:50 AM,,,10
,,,,,,TR,8:10 AM,9:25 AM,,,10
,,,,,,MW,10:00 AM,10:50 AM,,,13
,,,,,,TR,9:35 AM,10:50 AM,,,13
,,,,,,MW,9:00 AM,9:50 AM,,,12
,,,,,,TR,8:10 AM,9:25 AM,,,12
,,,,,,MW,1:15 PM,2:30 PM,,,0
,,,,,,TR,2:45 PM,4:00 PM,,,4
,,,,,,F,1:15 PM,4:00 PM,,,5
,,,,,,F,1:15 PM,4:00 PM,,,5
,,,,,,MW,9:00 AM,9:50 AM,,,5
,,,,,,TR,8:35 AM,9:25 AM,,,5
,,,,,,MWF,8:00 AM,8:50 AM,,,5
,,,,,,TR,8:30 AM,9:15 AM,,,9
,,,,,,TR,9:35 AM,10:50 AM,,,25
,,,,,,MW,11:00 AM,12:15 PM,,,28
,,,,,,M,7:00 PM,9:50 PM,,,12
,,,,,,MW,2:45 PM,4:00 PM,,,12
,,,,,,W,7:00 PM,9:50 PM,,,13
,,,,,,MW,1:15 PM,2:30 PM,,,13
,,,,,,MW,1:15 PM,2:30 PM,,,31
,,,,,,R,1:15 PM,4:00 PM,,,16
,,,,,,TR,1:15 PM,2:30 PM,,,20
,,,,,,TR,1:15 PM,2:30 PM,,,20
,,,,,,TR,1:15 PM,2:30 PM,,,23
,,,,,,MW,1:15 PM,2:30 PM,,,19
,,,,,,MW,11:00 AM,12:15 PM,,,26
,,,,,,MW,11:00 AM,12:15 PM,,,20
,,,,,,TR,9:35 AM,10:50 AM,,,16
,,,,,,MW,2:45 PM,4:00 PM,,,15
,,,,,,TR,9:35 AM,10:50 AM,,,34
,,,,,,MW,2:45 PM,4:00 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,9
,,,,,,TR,11:00 AM,12:15 PM,,,7
,,,,,,MWF,10:00 AM,10:50 AM,,,55
,,,,,,TR,1:15 PM,2:30 PM,,,32
,,,,,,MW,11:00 AM,12:15 PM,,,27
,,,,,,MW,2:45 PM,4:00 PM,,,30
,,,,,,TR,9:35 AM,10:50 AM,,,27
,,,,,,TR,1:15 PM,2:30 PM,,,14
,,,,,,TR,9:35 AM,10:50 AM,,,14
,,,,,,MW,1:15 PM,2:30 PM,,,28
,,,,,,MWF,9:00 AM,9:50 AM,,,20
,,,,,,MWF,11:00 AM,11:50 AM,,,22
,,,,,,MW,1:15 PM,2:30 PM,,,13
,,,,,,TR,1:15 PM,2:30 PM,,,16
,,,,,,M,1:15 PM,4:00 PM,,,15
,,,,,,F,1:15 PM,4:00 PM,,,24
,,,,,,TR,2:45 PM,4:00 PM,,,14
,,,,,,W,7:00 PM,9:50 PM,,,18
,,,,,,WF,11:00 AM,12:15 PM,,,17
,,,,,,W,1:15 PM,4:00 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,19
,,,,,,T,6:30 PM,9:30 PM,,,22
,,,,,,MW,1:15 PM,2:30 PM,,,12
,,,,,,TR,1:15 PM,2:30 PM,,,13
,,,,,,TR,11:00 AM,12:15 PM,,,10
,,,,,,MW,10:00 AM,10:50 AM,,,11
,,,,,,TR,9:35 AM,10:50 AM,,,11
,,,,,,MW,11:00 AM,11:50 AM,,,6
,,,,,,TR,9:35 AM,10:50 AM,,,6
,,,,,,MW,2:45 PM,4:00 PM,,,8
,,,,,,TR,1:15 PM,2:30 PM,,,15
,,,,,,TR,2:45 PM,4:00 PM,,,11
,,,,,,MW,11:00 AM,12:15 PM,,,18
,,,,,,MW,1:15 PM,2:30 PM,,,21
,,,,,,TR,2:45 PM,4:00 PM,,,26
,,,,,,W,7:00 PM,9:50 PM,,,21
,,,,,,M,1:15 PM,4:00 PM,,,12
,,,,,,W,1:15 PM,4:00 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,6
,,,,,,TR,2:45 PM,4:00 PM,,,2
,,,,,,MTWR,9:00 AM,9:50 AM,,,18
,,,,,,MTWR,9:00 AM,9:50 AM,,,18
,,,,,,MTWR,10:00 AM,10:50 AM,,,19
,,,,,,MTWR,10:00 AM,10:50 AM,,,17
,,,,,,MTWR,1:15 PM,2:05 PM,,,16
,,,,,,MTWR,9:00 AM,9:50 AM,,,17
,,,,,,MW,11:00 AM,12:15 PM,,,13
,,,,,,MW,1:15 PM,2:30 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,13
,,,,,,TR,9:35 AM,10:50 AM,,,15
,,,,,,MW,11:00 AM,12:15 PM,,,8
,,,,,,MW,1:15 PM,2:30 PM,,,14
,,,,,,TR,1:15 PM,2:30 PM,,,10
,,,,,,MW,2:45 PM,4:00 PM,,,8
,,,,,,MW,11:00 AM,12:15 PM,,,15
,,,,,,W,7:00 PM,9:50 PM,,,5